artist_name,artist_uri,album_name,album_uri,track_name,track_id,popularity,total_tracks,release_date,release_date_precision
Lymitless,spotify:artist:7pIsJfHxJU5Xz1kMLd49t0,Side Fxs / The Year 2020,spotify:album:4LJd6RC35WVQp4BKPtxbqx,The Year 2020,2Eg03TRbNC8kBj1DQHvK29,0,2,2013-05-27,day
Stretching Chillout Music Academy,spotify:artist:0GSMkJDLWuJRTGhX28vaAn,Electro Running Hits – Chill Out Music for Workout,spotify:album:0ohJFAbvzlRqBoZcwYtdeA,New Year 2020,4eudqCT0Yo9S5gRB2Z2907,1,15,2020-03-12,day
Running 150 BPM,spotify:artist:24OhttT7KfffxFcSENxWUL,Winter Exercices: Best Motivation Workout Music 2020,spotify:album:1vFXDDrTQUGy1ifoKQqxQN,New Year 2020,08zIFisJdCLz6fc0XlNltM,1,15,2020-02-27,day
Deep House Lounge,spotify:artist:6tRsX0fQJfRjcVdsBozYwF,"Runway Music 2020 - Deep Vibes, Chillout Lounge, Fashion Models, Fashion Week 2020",spotify:album:4OuUOoZWYeGw8u6ndZorYG,New Year 2020,0qkfc3B9WgH9rUd4K3yad6,1,15,2020-02-15,day
DJ Infinity Night,spotify:artist:5d0khdCK7tPFP1GZDvCvcn,"Winter Chill Out: Hot House Mix, Chill Party Ambient Till Dawn",spotify:album:4bPRqZw5WjRUXwI7cMxqB4,New Year 2020,2M0zTcqln6DIRtULe12gYF,0,20,2019-12-10,day
Kid Glock,spotify:artist:2DccHhP7vP9xOmvuYDIGMF,2020 MY Year,spotify:album:6X0oRdoAoOT9srt7cCoRxQ,2020 MY Year,4OGAPkmurCAjxkfuoW6QBR,3,1,2020-02-07,day
Master Fale,spotify:artist:5ODkYxLWNiebVKA42YyNKC,"Nothing But... The Sound of Afro House, Vol. 01",spotify:album:2uks2sPjJBzjrkNgr7oWPC,The Year 2020,5woOiebVfEiyFr0MCISeOD,0,25,2019-12-02,day
Sickila And The Lost Souls,spotify:artist:1XWnYlDO4wBlUzTBD5ktlW,Paradox,spotify:album:70YUvNKntVPTVPWWR8imCc,Happy new year 2020,0SPYIMslDBw7Y4M7FdWp2E,0,7,2020-03-03,day
Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,Nicotine,spotify:album:5TudentPatPtqM2ZcWphd1,911,31LixRzS5G7vRbfYFBAnOe,0,10,2020-03-26,day
Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,Nicotine,spotify:album:1Hy76RlNvOHe6cpih1RxXq,Anymore,37f5k9CUx76qufhCFdniuv,0,10,2020-03-26,day
Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,Nicotine,spotify:album:5TudentPatPtqM2ZcWphd1,Lovesick,3rCoNefpOC5h8IiLbzg1JX,0,10,2020-03-26,day
Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,Nicotine,spotify:album:1Hy76RlNvOHe6cpih1RxXq,Disaster,3yuayr8sjIrIeqaPuvYOWn,0,10,2020-03-26,day
Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,Nicotine,spotify:album:1Hy76RlNvOHe6cpih1RxXq,Nicotine,45qDmqcP1NtX8LpTKcqGZ0,0,10,2020-03-26,day
Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,Nicotine,spotify:album:5TudentPatPtqM2ZcWphd1,Nicotine,5pEWd66qOnSBpuYZ3RUZEn,0,10,2020-03-26,day
Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,Nicotine,spotify:album:1Hy76RlNvOHe6cpih1RxXq,Past Life,5weJJZ5Xas6MkxxsLJatyt,0,10,2020-03-26,day
