,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Doja Cat,0.7261071428571428,0.6295000000000002,5.571428571428571,-6.047214285714287,0.6071428571428571,0.12944642857142857,0.2043660714285714,0.008174743928571428,0.15393571428571431,0.4615107142857142,128.4664642857143,203163.2142857143,3.9642857142857144
BTS,0.6236705882352943,0.7733882352941178,5.117647058823529,-4.823905882352943,0.5058823529411764,0.1114270588235294,0.10237537647058824,4.654494117647059e-05,0.19262941176470588,0.48805882352941166,122.6168352941176,231347.50588235294,3.976470588235294
Demi Lovato,0.564219512195122,0.6190975609756098,6.829268292682927,-5.820463414634148,0.6097560975609756,0.0798170731707317,0.2349809024390244,1.682609756097561e-05,0.16246829268292684,0.44992682926829275,126.61460975609758,213477.80487804877,3.8780487804878048
Robin Schulz,0.6391818181818181,0.7383636363636364,6.515151515151516,-6.070484848484848,0.48484848484848486,0.06994242424242424,0.06943027272727273,0.09744689727272726,0.21353030303030307,0.4562545454545455,119.79090909090908,221804.0909090909,4.0
A Boogie Wit da Hoodie,0.7416388888888888,0.6416666666666669,5.027777777777778,-6.247777777777778,0.4722222222222222,0.21216111111111113,0.2180111111111111,3.065833333333333e-06,0.15190555555555557,0.512972222222222,125.01447222222221,200600.66666666666,4.0
G-Eazy,0.6947399999999999,0.65668,5.96,-6.44586,0.56,0.23941999999999994,0.10643910000000002,1.07584e-05,0.16891399999999993,0.4030480000000001,118.56729999999999,220649.54,3.96
YNW Melly,0.7288536585365855,0.5673414634146341,4.585365853658536,-7.792487804878052,0.5365853658536586,0.18504634146341462,0.20457804878048783,0.00019423243902439024,0.16457317073170732,0.45456097560975617,129.9635853658537,212042.0487804878,3.926829268292683
blackbear,0.6969545454545454,0.5585000000000001,5.136363636363637,-7.307181818181822,0.3484848484848485,0.13309545454545452,0.2129480303030303,8.566333333333334e-05,0.21541666666666665,0.5242878787878787,112.37360606060606,189251.01515151514,3.878787878787879
Joji,0.6309032258064516,0.501774193548387,4.870967741935484,-9.028032258064515,0.7741935483870968,0.1073516129032258,0.43924516129032265,0.11658381225806454,0.18572258064516134,0.3304193548387097,117.89245161290322,184372.5806451613,3.774193548387097
Lauv,0.6265454545454546,0.46584090909090903,6.068181818181818,-7.966431818181815,0.8636363636363636,0.10381590909090907,0.38858977272727274,5.153181818181818e-06,0.1598840909090909,0.38504090909090893,119.42218181818184,200753.8409090909,3.909090909090909
